id,author,depth,source,time,long,lat,elevation,date_2,date_1,M,D,Y,Code
X6mPl0FE,Sarah Carter,82,MountainHub,22:00:00,-145.7317543,61.13229749,822.9345093,10/31/17,10/29/17,10,29,2017,2
CSeYjWsQ,Sarah Carter,208,MountainHub,16:21:56,-146.3597085,61.1382774,25.32873726,10/31/17,10/31/17,10,31,2017,2
QJD/6tZU,Sarah Carter,45,MountainHub,22:30:00,-145.7274628,61.12367719,732.8775635,11/30/17,11/26/17,11,26,2017,2
hgfDo255,Samantha Schafer,76,MountainHub,1:52:37,-146.3307063,61.0675582,391.423645,11/30/17,12/4/17,12,4,2017,2
/RdkJ6S3,Sarah Carter,66,MountainHub,16:00:00,-146.382544,61.1305674,120.1611176,11/30/17,12/6/17,12,6,2017,2
jMZ0xvDl,Sarah Carter,152,MountainHub,17:00:37,-145.507822,61.22956832,1000.864258,12/31/17,12/24/17,12,24,2017,2
L4vRi4rx,Sarah Carter,185,MountainHub,5:35:39,-145.6945571,61.17151079,642.1228027,1/15/18,1/15/18,1,15,2018,2
kgkGOW+H,Sarah Carter,351,MountainHub,20:51:43,-145.8646135,61.09049702,511.6314697,1/31/18,2/4/18,2,4,2018,2
ApOo2J0t,Sarah Carter,356,MountainHub,20:47:40,-145.8636111,61.0904576,515.4511108,1/31/18,2/4/18,2,4,2018,2
YC0YCtBn,Alaska Snowboard Guides 1,150,SnowPilot,23:07:48,-145.641497,61.168269,941.6762695,3/15/18,3/16/18,3,16,2018,2
NU31EnBo,Dan Janjigian,180,SnowPilot,21:50:01,-145.252592,61.236188,878.7926025,3/15/18,3/16/18,3,16,2018,2
Vc04/08Q,Max Wittenberg,140,SnowPilot,4:59:03,-145.726279,61.181264,770.2033081,3/15/18,3/16/18,3,16,2018,2
hgfDo23+,meaghan wheeler,215,SnowPilot,23:59:24,-145.630877,61.365699,1316.541016,3/15/18,3/18/18,3,18,2018,2
H21J/guS,Max Wittenberg,100,SnowPilot,16:05:03,-145.846983,61.250751,1028.247803,3/15/18,3/19/18,3,19,2018,2
SNJ2DOEP,Alaska Snowboard Guides 1,200,SnowPilot,16:03:14,-145.582254,61.2967,962.3929443,3/15/18,3/21/18,3,21,2018,2
nTXaTYVa,Alaska Snowboard Guides 1,235,SnowPilot,2:37:26,-145.76618,61.290586,1188.380859,3/31/18,3/23/18,3,23,2018,2
nGfGAYlV,Sarah Carter,343,MountainHub,6:57:21,-146.3274206,61.07514351,215.6934509,3/31/18,3/23/18,3,23,2018,2
CtZruPOE,Sarah Carter,165,MountainHub,0:53:49,-145.5209924,61.1976565,722.5687866,3/31/18,3/25/18,3,25,2018,2
fSRWP7fU,Max Wittenberg,40,SnowPilot,15:29:48,-145.722427,61.178591,748.0767212,3/31/18,3/27/18,3,27,2018,2
Kg6/t8fs,Max Wittenberg,60,SnowPilot,15:21:06,-145.714162,61.008093,816.0646973,3/31/18,3/27/18,3,27,2018,2
ooWcS4Tw,Max Wittenberg,75,SnowPilot,15:09:35,-145.699267,61.005253,1030.871948,3/31/18,3/27/18,3,27,2018,2
0U6ZES3p,Sarah Carter,175,MountainHub,21:53:34,-145.7957803,61.1409013,1540.08252,3/31/18,3/27/18,3,27,2018,2
rjaBXrNV,Max Wittenberg,70,SnowPilot,15:35:30,-145.775123,60.900428,1224.104126,3/31/18,4/7/18,4,7,2018,2
amCdjKCW,Max Wittenberg,90,SnowPilot,15:32:37,-145.913636,61.107798,853.0969238,3/31/18,4/7/18,4,7,2018,2
suB4AqGS,Eric Haskell,400,SnowPilot,4:04:23,-145.796923,61.14053,1096.57373,4/15/18,4/8/18,4,8,2018,2
c6qvznVG,Max Wittenberg,100,SnowPilot,5:12:18,-145.865095,60.967855,919.2506714,4/15/18,4/8/18,4,8,2018,2
YtCSKVzS,Alex Rogers,300,MountainHub,18:52:40,-145.6895926,61.17528744,636.0109863,4/15/18,4/9/18,4,9,2018,2
5txyoIp7,Emily Baker,244,MountainHub,23:50:01,-145.6570814,61.17306938,757.3498535,4/15/18,4/15/18,4,15,2018,2
6UtVgSxN,Emily Baker,171,MountainHub,23:45:42,-145.6562714,61.17162178,786.2866211,4/15/18,4/15/18,4,15,2018,2
5UnJMG+Y,Emily Baker,235,MountainHub,23:43:15,-145.6565575,61.17155544,785.543457,4/15/18,4/15/18,4,15,2018,2
