X,Y,snowclass_,X,Y,id,author,depth,source,time,long,lat,elevation,date_2,date_1,M,D,Y_1,Code,xcoord,ycoord
-145.73175,61.1323,1.00000,442712.77824,1266527.01461,X6mPl0FE,Sarah Carter,82,MountainHub,22:00:00,-145.73175,61.13230,822.93451,10/31/17,10/29/17,10,29,2017,2,442712.77824,1266527.01461
-146.35971,61.13828,3.00000,409167.59894,1263163.52560,CSeYjWsQ,Sarah Carter,208,MountainHub,16:21:56,-146.35971,61.13828,25.32874,10/31/17,10/31/17,10,31,2017,2,409167.59894,1263163.52560
-145.72746,61.12368,3.00000,443061.16144,1265598.95059,QJD/6tZU,Sarah Carter,45,MountainHub,22:30:00,-145.72746,61.12368,732.87756,11/30/17,11/26/17,11,26,2017,2,443061.16144,1265598.95059
-146.33071,61.06756,3.00000,411625.28463,1255485.52502,hgfDo255,Samantha Schafer,76,MountainHub,1:52:37,-146.33071,61.06756,391.42365,11/30/17,12/4/17,12,4,2017,2,411625.28463,1255485.52502
-146.38254,61.13057,3.00000,408048.73881,1262166.37291,/RdkJ6S3,Sarah Carter,66,MountainHub,16:00:00,-146.38254,61.13057,120.16112,11/30/17,12/6/17,12,6,2017,2,408048.73881,1262166.37291
-145.50782,61.22957,1.00000,453251.01023,1278830.42844,jMZ0xvDl,Sarah Carter,152,MountainHub,17:00:37,-145.50782,61.22957,1000.86426,12/31/17,12/24/17,12,24,2017,2,453251.01023,1278830.42844
-145.69456,61.17151,1.00000,444147.01250,1271127.14165,L4vRi4rx,Sarah Carter,185,MountainHub,5:35:39,-145.69456,61.17151,642.12280,1/15/18,1/15/18,1,15,2018,2,444147.01250,1271127.14165
-145.86461,61.0905,3.00000,436206.20068,1261008.21531,kgkGOW+H,Sarah Carter,351,MountainHub,20:51:43,-145.86461,61.09050,511.63147,1/31/18,2/4/18,2,4,2018,2,436206.20068,1261008.21531
-145.86361,61.09046,3.00000,436260.21739,1261010.42380,ApOo2J0t,Sarah Carter,356,MountainHub,20:47:40,-145.86361,61.09046,515.45111,1/31/18,2/4/18,2,4,2018,2,436260.21739,1261010.42380
-145.6415,61.16827,1.00000,447015.05096,1271123.41372,YC0YCtBn,Alaska Snowboard Guides 1,150,SnowPilot,23:07:48,-145.64150,61.16827,941.67627,3/15/18,3/16/18,3,16,2018,2,447015.05096,1271123.41372
-145.25259,61.23619,7.00000,466698.39232,1281332.35217,NU31EnBo,Dan Janjigian,180,SnowPilot,21:50:01,-145.25259,61.23619,878.79260,3/15/18,3/16/18,3,16,2018,2,466698.39232,1281332.35217
-145.72628,61.18126,7.00000,442323.88360,1271997.79592,Vc04/08Q,Max Wittenberg,140,SnowPilot,4:59:03,-145.72628,61.18126,770.20331,3/15/18,3/16/18,3,16,2018,2,442323.88360,1271997.79592
-145.63088,61.3657,1.00000,444804.65169,1293101.33745,hgfDo23+,meaghan wheeler,215,SnowPilot,23:59:24,-145.63088,61.36570,1316.54102,3/15/18,3/18/18,3,18,2018,2,444804.65169,1293101.33745
-145.84698,61.25075,7.00000,434951.86564,1278913.00739,H21J/guS,Max Wittenberg,100,SnowPilot,16:05:03,-145.84698,61.25075,1028.24780,3/15/18,3/19/18,3,19,2018,2,434951.86564,1278913.00739
-145.58225,61.2967,1.00000,448350.61032,1285772.74596,SNJ2DOEP,Alaska Snowboard Guides 1,200,SnowPilot,16:03:14,-145.58225,61.29670,962.39294,3/15/18,3/21/18,3,21,2018,2,448350.61032,1285772.74596
-145.76618,61.29059,7.00000,438689.61952,1283865.96194,nTXaTYVa,Alaska Snowboard Guides 1,235,SnowPilot,2:37:26,-145.76618,61.29059,1188.38086,3/31/18,3/23/18,3,23,2018,2,438689.61952,1283865.96194
