depth_cm,depth_mm,depth_m,source,LON,LAT,elevation,date_agg,date_agg2,M,D,Y,SWE_hill,SWE_sturm,albersX,albersY,Snow_Class,DOY
100,1000,1,MountainHub,-146.3502758,61.1352947,33,2017 2 1,2017 2 8,2,4,2017,0.404,0.299,409708.864,1262890.284,3,34
245,2450,2.45,MountainHub,-145.9183687,61.3225075,1513,2017 2 1,2017 2 8,2,7,2017,0.988,0.743,430188.21,1286413.728,7,37
120,1200,1.2,MountainHub,-145.8685295,61.0862745,454,2017 2 15,2017 2 15,2,11,2017,0.485,0.369,436054.963,1260513.76,3,41
0,0,0,SnowPilot,-145.42256,61.1765,1238,2017 2 15,2017 2 22,2,21,2017,0,0,458540.949,1273529.218,1,51
180,1800,1.8,MountainHub,-146.31847,61.0277847,661,2017 3 1,2017 3 8,3,1,2017,0.738,0.506,412792.502,1251142.601,1,59
175,1750,1.75,SnowPilot,-145.253334,61.231154,996,2017 3 15,2017 3 15,3,15,2017,0.586,0.596,466732.973,1280768.985,7,73
118,1180,1.18,MountainHub,-146.3259917,61.0765746,156,2017 3 15,2017 3 22,3,16,2017,0.458,0,411760.928,1256516.487,0,74
131,1310,1.31,MountainHub,-146.3313429,61.0794114,86,2017 3 15,2017 3 22,3,16,2017,0.508,0,411438.522,1256798.495,0,74
148,1480,1.48,MountainHub,-146.3286673,61.0805666,67,2017 3 15,2017 3 22,3,16,2017,0.572,0,411566.543,1256943.418,0,74
200,2000,2,SnowPilot,-145.749092,61.183034,960,2017 3 15,2017 3 22,3,16,2017,0.813,0.683,441086.029,1272042.502,7,74
200,2000,2,SnowPilot,-145.749092,61.183034,960,2017 3 15,2017 3 22,3,16,2017,0.813,0.683,441086.029,1272042.502,7,74
0,0,0,MountainHub,-145.7564782,61.1413738,806,2017 3 15,2017 3 22,3,17,2017,0,0,441270.098,1267369.786,1,75
2,20,0.02,MountainHub,-145.7546693,61.1349347,845,2017 3 15,2017 3 22,3,17,2017,0.009,0.006,441455.616,1266667.16,1,75
17,170,0.17,MountainHub,-145.7561591,61.1415538,806,2017 3 15,2017 3 22,3,17,2017,0.073,0.049,441284.599,1267391.884,1,75
23,230,0.23,MountainHub,-145.7668901,61.1380354,868,2017 3 15,2017 3 22,3,17,2017,0.101,0.079,440761.788,1266930.125,7,75
31,310,0.31,MountainHub,-145.7672794,61.1378435,870,2017 3 15,2017 3 22,3,17,2017,0.135,0.106,440743.707,1266906.243,7,75
45,450,0.45,MountainHub,-145.7727616,61.1329027,898,2017 3 15,2017 3 22,3,17,2017,0.195,0.13,440520.002,1266321.496,1,75
49,490,0.49,MountainHub,-145.7611325,61.1340589,858,2017 3 15,2017 3 22,3,17,2017,0.206,0.142,441123.474,1266527.012,1,75
