ave,sd,min,max,lat,long,elev,id,swe,sampler_de,xcoord,ycoord
100,9,84,109,61.457,-145.123,609,201803051,27,95,470280.2798,1306725.824
124,6,117,134,61.45421,-145.12695,663,201803052,26,101,470114.0653,1306388.07
123,3,119,128,61.4514,-145.13432,745,201803053,29,114,469767.3047,1306025.287
132,19,90,150,61.45099,-145.14688,867,201803054,29,105,469112.1692,1305891.327
125,15,105,147,61.45096,-145.15637,1031,201803055,28,90,468612.6574,1305820.767
157,16,138,188,61.16925,-145.70884,653,201803061,39,117,443418.4586,1270781.233
130,11,113,144,61.17239,-145.71349,705,201803062,35,123,443127.5613,1271097.897
185,15,167,209,61.18797,-145.6241,526,201803063,43,143,447663.598,1273426.304
189,23,156,218,61.17757,-145.66961,622,201803064,37,141,445389.1434,1271967.148
154,26,123,204,61.14455,-145.72495,722,201803065,50,142,442904.7167,1267932.368
91,46,38,151,61.13222,-145.73049,869,201803066,41,83,442781.267,1266526.739
141,35,94,190,61.1324,-145.72122,951,201803067,63,118,443272.2995,1266609.201
183,46,137,286,61.1338,-145.71227,1061,201803068,56,103,443729.736,1266823.576
79,12,66,94,61.13213,-146.16097,116,201803071,21,73,419843.1244,1263721.412
105,31,69,160,61.13274,-146.14417,220,201803072,27,94,420730.5705,1263894.797
118,22,83,146,61.1305,-146.1364,441,201803073,33,114,421174.3019,1263695.709
157,24,135,195,61.12778,-146.13246,598,201803074,46,110,421420.4565,1263418.631
192,25,140,224,61.12484,-146.12769,763,201803075,47,140,421713.5156,1263122.147
199,16,176,226,61.12383,-146.12297,804,201803076,49,174,421978.5433,1263039.957
161,26,121,193,61.12383,-146.12297,589,201803077,20,109,421978.5433,1263039.957
109,29,50,144,61.13229,-145.72992,889,201804051,56,109,442810.4458,1266537.831
99,51,55,218,61.1322,-145.7221,953,201804052,41,102,443228.1281,1266580.897
55,30,29,104,61.13379,-145.71348,1050,201804053,48,111,443665.3351,1266814.257
74,6,65,83,61.16032,-145.72361,747,201804054,18,54,442757.0203,1269691.579
101,45,45,165,61.15976,-145.73114,851,201804055,25,68,442364.0048,1269578.794
198,71,54,265,61.15937,-145.7457,993,201804056,98,241,441594.5733,1269438.507
165,9,151,176,61.16684,-145.7018,651,201804071,37,129,443826.9462,1270560.178
167,6,159,180,61.17155,-145.69872,648,201804072,47,157,443925.0089,1271103.659
87,11,73,105,61.13211,-146.1593,142,201804061,25,69,419932.0401,1263729.254
84,18,71,125,61.13304,-146.14113,280,201804062,24,60,420888.4875,1263947.922
